code,mode,class,name
J-13165,,02,"professeure d'histoire, de philosophie, de sociologie et d'autres sciences sociales apparentées (niveau supérieur)"
J-13170,,01,professeur de langues et de littérature (niveau supérieur)
J-13170,,02,professeure de langues et de littérature (niveau supérieur)
J-13175,,01,"professeur de thérapies paramédicales, des sciences infirmières et d'autres sciences apparentées (niveau supérieur)"
J-13175,,02,"professeure de thérapies paramédicales, des sciences infirmières et d'autres sciences apparentées (niveau supérieur)"
J-13180,,01,professeur d'arts industriels (niveau supérieur)
J-13180,,02,professeure d'arts industriels (niveau supérieur)
J-13190,,01,autres professeurs d'université et d'établissements d'enseignement supérieur
J-13190,,02,autres professeures d'université et d'établissements d'enseignement supérieur
J-13200,,00,132 Professeurs de l'enseignement secondaire
J-13215,,01,professeur de langues et de littérature (niveau secondaire)
J-13215,,02,professeure de langues et de littérature (niveau secondaire)
J-13220,,01,professeur de mathématiques (niveau secondaire)
J-13220,,02,professeure de mathématiques (niveau secondaire)
J-13230,,01,professeur de sciences naturelles (niveau secondaire)
J-13230,,02,professeure de sciences naturelles (niveau secondaire)
J-13240,,01,professeur d'études sociales (niveau secondaire)
J-13240,,02,professeure d'études sociales (niveau secondaire)
J-13250,,01,professeur de beaux-arts (niveau secondaire)
J-13250,,02,professeure de beaux-arts (niveau secondaire)
J-13260,,01,professeur de l'enseignement commercial et de secrétariat (niveau secondaire)
J-13260,,02,professeure de l'enseignement commercial et de secrétariat (niveau secondaire)
J-13270,,01,professeur des sciences agricoles (niveau secondaire)
J-13270,,02,professeure des sciences agricoles (niveau secondaire)
J-13275,,01,professeur d'économie domestique et de formation générale d'infirmier (niveau secondaire)
J-13275,,02,professeure d'économie domestique et de formation générale d'infirmier (niveau secondaire)
J-13280,,01,professeur d'enseignement technique (niveau secondaire)
J-13280,,02,professeure d'enseignement technique (niveau secondaire)
J-13290,,01,autres professeurs du niveau secondaire
J-13290,,02,autres professeures du niveau secondaire
J-13300,,00,133 Professeurs de l'enseignement primaire
J-13320,,01,professeur (niveau primaire)
J-13320,,02,professeure (niveau primaire)
J-13390,,01,autres professeurs du niveau primaire
J-13390,,02,autres professeures du niveau primaire
J-13400,,00,134 Éducateurs du niveau préscolaire
J-13420,,01,éducateur à la maternelle
J-13420,,02,éducatrice à la maternelle
J-13490,,01,autres éducateurs du niveau préscolaire
J-13490,,02,autres éducatrices du niveau préscolaire
J-13500,,00,135 Enseignants spécialisés
J-13520,,01,enseignants pour les aveugles
J-13520,,02,enseignantes pour les aveugles
J-13530,,01,enseignants pour les sourds
J-13530,,02,enseignantes pour les sourds
J-13540,,01,enseignants pour les personnes ayant une déficience mentale
J-13540,,02,enseignantes pour les personnes ayant une déficience mentale
J-13590,,01,autres enseignants spécialisés
J-13590,,02,autres enseignantes spécialisées
J-13900,,00,139 Personnel enseignant n.c.a.
J-13920,,01,spécialiste des méthodes d'enseignement
J-13930,,01,spécialiste du matériel didactique (matériel audio-visuel ou autre)
J-13940,,01,directeur d'école
J-13940,,02,directrice d'école
J-13950,,01,inspecteur d'école
J-13950,,02,inspectrice d'école
J-13990,,01,autre personnel enseignant
J-14000,,0,14 Membres du clergé
J-14100,,00,141 Ministres des cultes et membres d'ordres religieux assimilés
J-14120,,01,ministre du culte
J-14121,,01,membre du clergé (ordonné)
J-14122,,01,ministre du culte (ordonné)
J-14123,,01,prêtre (ordonné)
J-14124,,01,rabbin (ordonné)
J-14130,,01,missionnaire
J-14140,,01,assistant du culte (membre d'un ordre religieux)
J-14140,,02,assistante du culte (membre d'un ordre religieux)
J-14190,,01,autres ministres des cultes et membres d'ordres religieux assimilés
J-14900,,00,149 Membres du clergé n.c.a.
J-14920,,01,guérisseur spirituel
J-14920,,02,guérisseuse spirituelle
J-14990,,01,autres membres du clergé et personnel assimilé
J-15000,,0,"15 Auteurs, journalistes et écrivains assimilés"
J-15100,,00,151 Auteurs et critiques
J-15120,,01,auteur
J-15120,,02,auteure
J-15130,,01,critique
J-15900,,00,"159 Auteurs, journalistes et écrivains assimilés n.c.a."
J-15920,,01,rédacteur en chef de quotidien et de périodique
J-15920,,02,rédactrice en chef de quotidien et de périodique
J-15925,,01,sous-éditeur de quotidien et de périodique
J-15925,,02,sous-éditrice de quotidien et de périodique
J-15930,,01,reporteur
J-15930,,02,reporteure
J-15935,,01,commentateur de radio et télévision
J-15935,,02,commentatrice de radio et télévision
J-15940,,01,éditeur de scénario
J-15940,,02,éditrice de scénario
J-15945,,01,éditeur de livres
J-15945,,02,éditrice de livres
J-15950,,01,rédacteur d'annonces publicitaires
J-15950,,02,rédactrice d'annonces publicitaires
J-15955,,01,responsable des relations publiques
J-15960,,01,rédacteur publicitaire
J-15960,,02,rédactrice publicitaire
J-15965,,01,rédacteur technique
J-15965,,02,rédactrice technique
